po_lat,po_lon,pd_lat,pd_long,number_of_stops,instance_type,dateTime
38.70622288558868,-9.199551696844082,38.72921433731664,-9.110269528686658,13,easy,2025-04-18 14:32:47
38.74285477377729,-9.172586435796012,38.73408334643403,-9.133990087193911,13,easy,2025-04-02 11:31:26
38.62490309192777,-9.126648928663846,38.59814072502332,-9.174767470812178,12,easy,2025-04-21 08:28:34
38.738333528326216,-9.100160612898389,38.76780968214938,-9.12101999448694,7,easy,2025-04-04 22:22:00
38.71778570304226,-9.156472979691,38.74562823812014,-9.133566314930771,8,easy,2025-04-21 20:00:31
38.61628567962894,-9.11530649744084,38.622198563954825,-9.163449371848456,7,easy,2025-04-21 20:06:51
38.78215141768532,-9.139860686910591,38.7880564536209,-9.140014126227236,3,easy,2025-04-03 15:40:02
38.77135327279649,-9.160132820281117,38.72642068888136,-9.130952032730296,8,easy,2025-04-11 22:35:50
38.78291583078813,-9.173140233265944,38.7415219154495,-9.144695280387266,7,easy,2025-04-22 21:11:37
38.73683059535715,-9.125610555805125,38.70736554916732,-9.16437792357843,8,easy,2025-04-10 08:18:29
38.751720052710496,-9.148657464015708,38.75317002360993,-9.207862448163166,9,easy,2025-04-14 21:16:31
38.73362741583762,-9.142652897217962,38.72218896358441,-9.245350409532724,15,easy,2025-04-10 12:44:27
38.703756669974815,-9.259021988584369,38.71891572041415,-9.15553173078035,12,easy,2025-04-28 17:18:29
38.75468929472526,-9.130052265046285,38.702599832417725,-9.19033036171593,11,easy,2025-04-30 15:44:18
38.71870830929471,-9.13314708118576,38.78557096161482,-9.123322469805276,10,easy,2025-04-10 08:35:55
38.62436830634841,-9.201270070539914,38.64190164770884,-9.185904444699815,5,easy,2025-04-17 14:48:58
38.71298788165347,-9.165433277922787,38.75161815621965,-9.201170264571362,15,easy,2025-04-17 10:05:07
38.72219697787507,-9.150892982327091,38.75444708736404,-9.174651350932026,12,easy,2025-04-01 14:31:21
38.75417224576293,-9.183100561449562,38.70838216007728,-9.14885644538307,10,easy,2025-04-25 10:12:20
38.73617991642284,-9.08920825102797,38.72760804573783,-9.162689373750052,15,easy,2025-04-04 08:10:02
38.76045479093165,-9.093804175865746,38.64460989043714,-9.215148731425469,19,normal,2025-04-18 14:02:58
38.61142195444439,-9.204043440798555,38.76044897698802,-9.099055292441896,27,normal,2025-04-28 19:51:45
38.65564183614991,-9.246570085939736,38.596569506884975,-9.188736100431402,20,normal,2025-04-14 08:22:19
38.76219129917399,-9.132813151513366,38.651391143598985,-9.19281896195194,19,normal,2025-04-24 20:21:24
38.74408904697184,-9.15008862603938,38.63620128645783,-9.184163014832365,27,normal,2025-04-16 10:24:13
38.76550151117024,-9.118600681917387,38.68283103399849,-9.153617709573473,19,normal,2025-04-16 16:42:41
38.74043557399376,-9.175341175650097,38.769738258389694,-9.16984779300585,16,normal,2025-04-07 14:34:19
38.71246974872528,-9.184546812123584,38.67592878384232,-9.22209840515134,29,normal,2025-04-09 22:33:41
38.625750833730905,-9.198984530425353,38.74342983954219,-9.199502241888093,30,normal,2025-04-28 08:24:02
38.63397164547462,-9.146691197238203,38.77373832639822,-9.14411273761188,23,normal,2025-04-23 19:42:34
38.63782624047309,-9.173140910961386,38.69513050986089,-9.138626607238413,16,normal,2025-04-02 21:55:50
38.70284525063425,-9.150798975930972,38.62328331284012,-9.179169694578144,17,normal,2025-04-21 15:10:56
38.74129278558652,-9.200180482415035,38.73268337283723,-9.22643081557679,22,normal,2025-04-01 14:57:59
38.61142195444439,-9.204043440798555,38.76044897698802,-9.099055292441895,26,normal,2025-04-17 13:51:24
38.75891679391213,-9.20367824907144,38.65131096469139,-9.016608344991338,30,normal,2025-04-30 21:48:20
38.70723368685457,-9.2358366251211,38.74652662225815,-9.106583677126451,18,normal,2025-04-15 17:44:15
38.72551622529264,-9.144260135508327,38.59161831270346,-9.208167365938726,22,normal,2025-04-28 09:31:40
38.643087385028245,-9.091282298161303,38.645583660825466,-9.210619705859251,16,normal,2025-04-21 09:19:35
38.74373044674287,-9.205046054682638,38.740394903909575,-9.121610869644677,20,normal,2025-04-14 16:12:51
38.568297439742,-9.062323288791417,38.70849923249459,-9.18480081754615,30,normal,2025-04-04 13:26:20
38.76336394081501,-9.195785579336928,38.64695602148623,-8.99749302326499,31,hard,2025-04-03 19:59:58
38.75641881201801,-9.099862040619357,38.6131811295601,-9.183468326441108,31,hard,2025-04-21 10:35:10
38.57905621025361,-9.035225052143414,38.724960368122936,-9.103173772681998,45,hard,2025-04-14 12:45:45
38.77641055658317,-9.162826077280576,38.59782938613581,-9.05617338422498,32,hard,2025-04-02 22:13:54
38.6975950438251,-9.18659819734516,38.67435473603978,-9.178102114095658,35,hard,2025-04-18 11:34:48
38.547796461695214,-9.076886102746233,38.76881512277801,-9.141038919832912,38,hard,2025-04-25 14:26:42
38.54727775934973,-9.070016112559982,38.73499961573074,-9.166811587044434,36,hard,2025-04-02 10:09:32
38.73032337787581,-9.11823475157492,38.62093360109154,-9.110016491942636,32,hard,2025-04-23 22:09:54
38.61198836802298,-9.075490938832688,38.7388609708159,-9.110866993123931,34,hard,2025-04-18 18:21:32
38.549682679782336,-9.097375623873896,38.76448575938056,-9.164247549633478,42,hard,2025-04-09 14:36:19
38.62714230548859,-9.104283111382106,38.72119906096841,-9.193824295576835,33,hard,2025-04-01 19:54:32
38.56005681550786,-9.035617024890866,38.74026593557848,-9.163499618018191,34,hard,2025-04-18 10:40:57
38.77374106202573,-9.169898726576148,38.64570904455641,-9.141958645079276,32,hard,2025-04-11 15:14:21
38.737425651462175,-9.121672479367907,38.63538258932909,-9.218456728828928,38,hard,2025-04-09 18:36:06
38.74066515519905,-9.125947212245956,38.6192923703898,-9.119675348125964,34,hard,2025-04-11 12:58:04
38.60587140162081,-9.091437325429377,38.702605450280174,-9.25019257721561,33,hard,2025-04-23 16:34:44
38.62499868191208,-9.12485305012452,38.70437049736361,-9.198082219059105,32,hard,2025-04-03 17:25:02
38.563033353664494,-9.105329186009216,38.73070810495818,-9.134772911403182,35,hard,2025-04-11 21:18:48
38.63252440920139,-9.1538508384409,38.73502236130087,-9.121277317350804,34,hard,2025-04-01 18:02:01
38.752305625736206,-9.181578495607507,38.67237338600997,-9.199423399536272,49,hard,2025-04-03 17:28:31
 
